Transaction_ID,Items
1,"Pasta, Milk, Eggs"
2,"Carrots, Bananas, Tomato Sauce"
3,"Tomato Sauce, Carrots, Cheese"
4,"Butter, Rice, Potatoes"
5,"Tea, Apples, Pasta, Orange Juice, Bread, Eggs"
6,"Eggs, Tomato Sauce, Cereal, Sugar, Milk, Onions"
7,"Eggs, Cheese"
8,"Apples, Chicken, Cereal"
9,"Sugar, Potatoes, Tomato Sauce, Butter, Tea, Pasta"
10,"Cheese, Bread, Sugar"
11,"Tea, Pasta, Milk, Cereal, Carrots, Butter"
12,"Cereal, Milk, Apples, Butter, Tomato Sauce"
13,"Tomato Sauce, Butter, Onions, Bread"
14,"Cheese, Tomato Sauce"
15,"Yogurt, Tomato Sauce"
16,"Eggs, Butter, Sugar, Onions, Orange Juice"
17,"Eggs, Milk, Rice, Potatoes, Sugar, Tomato Sauce"
18,"Cheese, Tea"
19,"Chicken, Coffee, Bread"
20,"Pasta, Rice, Apples, Yogurt"
21,"Butter, Carrots, Coffee, Tomato Sauce"
22,"Onions, Eggs, Milk, Tea, Butter"
23,"Carrots, Coffee"
24,"Tea, Milk, Onions, Rice, Coffee, Chicken"
25,"Coffee, Pasta, Cereal, Potatoes, Rice, Orange Juice"
26,"Bananas, Yogurt, Chicken, Pasta, Milk"
27,"Cheese, Coffee, Bananas, Apples, Cereal"
28,"Cereal, Bananas, Coffee"
29,"Eggs, Orange Juice, Yogurt, Tomato Sauce"
30,"Bread, Onions, Chicken, Butter, Carrots, Eggs"
31,"Onions, Eggs, Apples"
32,"Butter, Yogurt, Tea, Coffee, Cheese, Bananas"
33,"Butter, Tea, Coffee, Chicken, Yogurt"
34,"Bananas, Tea, Rice, Sugar"
35,"Bananas, Rice, Coffee, Cheese, Butter, Potatoes"
36,"Eggs, Pasta, Yogurt, Milk, Onions, Bread"
37,"Cereal, Chicken"
38,"Cereal, Chicken"
39,"Potatoes, Tea"
40,"Tea, Rice"
41,"Tea, Potatoes"
42,"Cheese, Cereal, Onions, Pasta, Eggs, Chicken"
43,"Apples, Onions, Cheese, Bananas, Milk, Rice"
44,"Coffee, Yogurt, Milk, Orange Juice, Eggs"
45,"Onions, Carrots"
46,"Cheese, Carrots, Butter, Onions, Tomato Sauce, Cereal"
47,"Yogurt, Pasta, Bananas, Apples"
48,"Butter, Cheese, Carrots"
49,"Chicken, Pasta"
50,"Yogurt, Butter"
51,"Rice, Cereal, Milk, Tomato Sauce, Eggs"
52,"Tomato Sauce, Apples"
53,"Cheese, Bananas, Eggs, Orange Juice, Tea"
54,"Orange Juice, Cereal, Potatoes, Yogurt, Butter"
55,"Tea, Cheese, Orange Juice, Yogurt, Pasta, Chicken"
56,"Bread, Coffee, Apples, Onions"
57,"Tea, Butter, Bananas, Coffee, Apples"
58,"Milk, Coffee, Cheese, Eggs, Pasta, Sugar"
59,"Yogurt, Rice, Sugar, Bananas, Cereal"
60,"Coffee, Cheese, Butter, Milk, Onions, Potatoes"
61,"Tomato Sauce, Potatoes, Tea, Orange Juice"
62,"Chicken, Yogurt, Onions, Pasta, Tea, Carrots"
63,"Orange Juice, Milk, Carrots, Yogurt, Onions, Pasta"
64,"Eggs, Bananas, Carrots, Coffee, Yogurt"
65,"Sugar, Bread, Pasta"
66,"Coffee, Eggs, Bananas, Rice, Tea"
67,"Eggs, Bread, Cereal"
68,"Sugar, Tea, Cereal, Rice, Chicken, Orange Juice"
69,"Butter, Apples, Onions, Cereal, Rice"
70,"Potatoes, Yogurt, Tomato Sauce"
71,"Coffee, Carrots"
72,"Cheese, Orange Juice, Coffee"
73,"Milk, Pasta, Bananas, Rice, Potatoes"
74,"Potatoes, Cheese, Sugar, Rice, Onions, Chicken"
75,"Tea, Pasta"
76,"Milk, Chicken, Eggs, Orange Juice, Bread, Cheese"
77,"Cheese, Tea, Orange Juice, Tomato Sauce"
78,"Chicken, Tea, Bananas, Sugar"
79,"Bread, Cereal, Milk"
80,"Bread, Cheese, Carrots, Cereal, Yogurt, Coffee"
81,"Coffee, Yogurt"
82,"Apples, Chicken, Cereal, Tomato Sauce"
83,"Tea, Tomato Sauce, Orange Juice"
84,"Coffee, Eggs, Orange Juice, Yogurt"
85,"Potatoes, Pasta, Butter, Chicken, Sugar"
86,"Orange Juice, Pasta"
87,"Apples, Cheese, Orange Juice, Milk, Bread"
88,"Eggs, Coffee"
89,"Pasta, Cheese, Chicken, Orange Juice"
90,"Potatoes, Yogurt, Pasta, Sugar"
91,"Butter, Tomato Sauce, Coffee, Orange Juice"
92,"Butter, Yogurt"
93,"Tea, Eggs, Carrots, Cheese, Apples"
94,"Bread, Milk"
95,"Coffee, Tea"
96,"Rice, Sugar, Cheese"
97,"Potatoes, Carrots, Bread, Apples"
98,"Eggs, Sugar, Bread, Cereal, Yogurt"
99,"Apples, Butter, Tomato Sauce, Yogurt"
100,"Apples, Carrots, Pasta, Cheese, Bread"
